Old Site Link,New Site Link,Content Status,Missing / Changed Content
https://drdantegonzales.com/,https://dante-new.vercel.app/index.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/dublin-california-ca-orthodontics-office.php,https://dante-new.vercel.app/about-us.html,PARTIAL — CONTENT MISSING/CHANGED,"Missing: old closing CTA 'Call 925.209.2982 today for your complimentary consultation for braces and Invisalign at our conveniently located orthodontics office in Dublin and Tracy CA' — the number 925.209.2982 appears nowhere on the new page. Changed facts: old 'Join The 10,000 Smiles Transformed' and 'helped 10,000+ patients' now read 12,000; new footer hours read 'Friday 8.00 am – 5.00 pm' and 'Saturday 8.15 am – 1.30 pm' vs old footer 'Friday 8.00 am - 4.00 pm' / 'Saturday 8.30 am - 1.30 pm' (other new pages still use the old values — inconsistent); copyright 2024 changed to 2026. Substantial new content added (practice story, 6 differentiators, per-office blocks). All 5 testimonials preserved."
https://drdantegonzales.com/about.php,https://dante-new.vercel.app/meet-our-founder.html,PARTIAL — CONTENT MISSING/CHANGED,"Bio facts fully preserved (UCLA, 1 yr immunology at Veterans Hospital LA, Tufts Summa Cum Laude, U.O.P. orthodontic program, ABO Diplomate '1 in 5', founded September 1998, 12,000 smiles). Missing: the service-area line in old H2 subhead 'Serving Dublin, Pleasanton, San Ramon, Danville, Livermore, Castro Valley, Tracy, San Leandro, Hayward, and Fremont, California (CA)' — new page names only Dublin, Tracy, Pleasanton, San Ramon, Danville, Livermore + 'the East Bay'; Castro Valley, San Leandro, Hayward, Fremont dropped. Dr. Gonzales's first-person quote 'I became an orthodontist because of my own experience...' is now paraphrased in third person (info retained, quote gone)."
https://drdantegonzales.com/meet-our-orthodontists-in-dublin-ca.php,https://dante-new.vercel.app/meet-our-orthodontists.html,PARTIAL — CONTENT MISSING/CHANGED,"Removed name: old H2 'MEET OUR 5-STAR-RATED ORTHODONTISTS IN DUBLIN AND TRACY, CA, DR. DANTE GONZALES & DR. GABRIELLE WAINWRIGHT' — Dr. Gabrielle Wainwright no longer appears anywhere (old page carried no bio for her; confirm intentional). Dropped from Dr. Paul J. Kim's bio: 'committed to providing exceptional, evidence-based orthodontic care with a personalized approach' and 'Outside the office, he enjoys connecting with patients and helping them achieve confident, healthy smiles.' Service-area list shortened (Castro Valley, San Leandro, Hayward, Fremont dropped). Old filler section 'Qualifications of Dr. John Maxwell' (lorem-style placeholder) correctly removed. Dr. Gonzales bio + Education/Certification lists fully preserved; 2 doctors on both."
https://drdantegonzales.com/meet-our-orthodontics-team.php,https://dante-new.vercel.app/meet-our-dublin-team.html,PARTIAL — CONTENT MISSING/CHANGED,"All 13 Dublin staff preserved with matching names/titles (Diana–Office Manager, Javona, Leo, Colleen, Michele, Derrick, Berenice, Lisa, Marlene, Leah, Diana–RDA, Shalimar, Cynthia) and the 6 real bios are intact. Shortened: the intro paragraph lost 'We are especially interested in making all our patients feel right at home!', 'We put your needs first to achieve efficient and comprehensive treatment', 'Our staff is trained and skilled, and we strive to provide energetic and fun-loving service to each patient', and 'years of experience in treating patients with the highest level of care' (replaced by 'welcoming patients and navigating insurance'). Derrick's bio lost 'He is most likely one of the first voices you will hear and meet.'"
https://drdantegonzales.com/meet-the-tracy-orthodontics-team.php,https://dante-new.vercel.app/meet-our-tracy-team.html,PARTIAL — CONTENT MISSING/CHANGED,"All 5 Tracy staff preserved with matching names/titles (Cassie–Scheduling Coordinator, Colleen–Clinical Supervisor/RDA, Sabrina–Clinical Supervisor/Office Manager, Amanda–Chairside RDA/OA, Stacy–Chairside RDA); Cassie's and Colleen's bios intact. Shortened: the same intro paragraph as the Dublin page lost 'We are especially interested in making all our patients feel right at home!', 'to achieve efficient and comprehensive treatment', 'Our staff is trained and skilled, and we strive to provide energetic and fun-loving service to each patient', and 'our office staff has years of experience in treating patients with the highest level of care'. All 5 testimonials and footer contact/hours preserved."
https://drdantegonzales.com/best-dublin-ca-orthodontics-office-and-orthodontist.php,https://dante-new.vercel.app/why-dante-gonzales.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/before-after.php,https://dante-new.vercel.app/before-after.html,PARTIAL — CONTENT MISSING/CHANGED,"Removed: heading 'Transforming Smiles, Changing Lives' + its paragraph ('Dr. Gonzales is an Diamond Invisalign Provider in Dublin and Tracy, CA. Invisalign straightens your teeth using series of clear, plastic aligners...'); the 5 category labels 'Brightening Smiles / Straightening Smiles / Perfecting Smiles / Restoring Smiles / Transforming Smiles'; the whole paragraph beginning 'Gonzales is a science and an art...'; the on-page 'Make an Appointment' form (Male/Female/Child, office choice Tracy/Dublin, Submit Query) — now only links to the contact page; and the 3 cards 'Advanced Technology', 'Healthcare Solutions' (Tom Terry Certified text) and '24/7 Availability'. Video + quote retained. Substantial new content added (FAQ, 4-step process, guarantee)."
https://drdantegonzales.com/impression-techniques-in-orthodontics.php,https://dante-new.vercel.app/impression-techniques.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/invisalign-quiz.php,https://dante-new.vercel.app/invisalign-quiz.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/dublin-california-ca-braces-orthodontics-and-invisalign.php,https://dante-new.vercel.app/braces-and-invisalign.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/invisalign.php,https://dante-new.vercel.app/invisalign.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/braces.php,https://dante-new.vercel.app/braces.html,PARTIAL — CONTENT MISSING/CHANGED,"All prose preserved (Metal/Ceramic/Clarity Braces blocks, ""How To Get Started At Dante Gonzales Orthodontics"", 925.233.3458, Free Report, 5 testimonials, footer hours/addresses). Missing: the old inline appointment form section — heading ""Make an Appointment"", its Male / Female / Child options and the ""Submit Query"" button — is absent from braces.html. Related bug: the header CTA uses href=""#appointment"" but braces.html has no id=""appointment"", so it is a dead anchor (the hero CTA correctly uses index.html#appointment). Restore the form, or point both CTAs at index.html#appointment. Substantial new content added (comparison table, 4-step process, 6 benefits, 7 FAQs)."
https://drdantegonzales.com/braces-in-dublin-ca.php,https://dante-new.vercel.app/braces-in-dublin-ca.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/braces-in-tracy-ca.php,https://dante-new.vercel.app/braces-in-tracy-ca.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/elite-invisalign-and-invisalign-teen-orthodontist.php,https://dante-new.vercel.app/invisalign-teen.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/accelerated-treatment.php,https://dante-new.vercel.app/accelerated-treatment.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/surgical-orthodontist.php,https://dante-new.vercel.app/surgical-orthodontist.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/surgical-orthodontics.php,https://dante-new.vercel.app/surgical-orthodontics.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/sleep-apnea-specialist-dublin-california-ca.php,https://dante-new.vercel.app/sleep-apnea-treatment.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/sleep-apnea-dentist-in-dublin.php,https://dante-new.vercel.app/sleep-apnea-dublin.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/sleep-apnea-treatment-tracy.php,https://dante-new.vercel.app/sleep-apnea-tracy.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/dublin-ca-orthodontic-office-contact.php,https://dante-new.vercel.app/contact-dublin.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/tracy-ca-orthodontic-office-contact.php,https://dante-new.vercel.app/contact-tracy.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog.php,https://dante-new.vercel.app/blog.html,PARTIAL — CONTENT MISSING/CHANGED,"Teaser count matches (49 vs 49) and no headline is missing. However 5 teaser publication DATES were changed: 'Does Invisalign Work for Crowded Teeth?' Aug 19, 2026 -> August 1, 2026; 'TMJ Headaches: What Causes Them...' Aug 01, 2026 -> July 17, 2026; 'What Is TMJ Disorder?' July 17, 2026 -> June 2, 2026; 'Invisalign for Adults: Benefits, Cost...' Jun 2, 2026 -> June 1, 2026; 'Can Invisalign Fix an Underbite?' Jun 1, 2026 -> May 19, 2026. Dates appear shifted one slot down through that run — restore the old values. Also the per-teaser author byline 'drdanteblogs' was dropped from every card (replaced by a category tag)."
https://drdantegonzales.com/blogs.php,,NOT COMPLETED,No completed new page
https://drdantegonzales.com/blog1.php,,NOT COMPLETED,No completed new page
https://drdantegonzales.com/blog2.php,,NOT COMPLETED,No completed new page
https://drdantegonzales.com/blog/how-much-do-braces-cost.php,https://dante-new.vercel.app/blog/how-much-do-braces-cost.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/whats-the-best-age-for-braces.php,https://dante-new.vercel.app/blog/whats-the-best-age-for-braces.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/how-long-do-you-have-to-wear-a-retainer.php,https://dante-new.vercel.app/blog/how-long-do-you-have-to-wear-a-retainer.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/invisalign-treatment-for-adults-cost-timeline.php,https://dante-new.vercel.app/blog/invisalign-treatment-for-adults-cost-timeline.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/does-invisalign-work-for-crowded-teeth.php,https://dante-new.vercel.app/blog/does-invisalign-work-for-crowded-teeth.html,PARTIAL — CONTENT MISSING/CHANGED,"Publication date changed: old page shows ""19 August, 2026""; new page byline reads ""August 1, 2026"" (and the blog index card repeats it). Restore the 19 August 2026 date on /blog/does-invisalign-work-for-crowded-teeth.html and in any listing metadata. All body content is otherwise intact: every H2/H3 present (Understanding Crowded Teeth; What Causes Crowded Teeth?; Mild, Moderate, and Severe Crowding; Does Invisalign Work for Crowded Teeth?; How Invisalign Treats Crowded Teeth; Timeline; What to Expect; Invisalign vs. Traditional Braces; When Braces May Be a Better Option; Cost and Insurance; Good Candidate; Benefits; CTA), both tables complete, stats ""24% of women and 14% of men"", 6/12-18/24-month timelines, 20-22 hours daily, and all 9 FAQs match."
https://drdantegonzales.com/blog/tmj-treatment-options.php,https://dante-new.vercel.app/blog/tmj-treatment-options.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/botox-for-tmj-cost.php,https://dante-new.vercel.app/blog/botox-for-tmj-cost.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/botox-for-bruxism.php,https://dante-new.vercel.app/blog/botox-for-bruxism.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/tmj-headaches.php,https://dante-new.vercel.app/blog/tmj-headaches.html,PARTIAL — CONTENT MISSING/CHANGED,"Body content fully preserved: all 8 H2/H3 sections, TMJ vs Migraine comparison table (all 7 rows incl. '4 to 72 hours', 'three to six months'), symptom and self-care lists, CTA blocks, and all 5 FAQs match. Only defect: publication date changed. Old page byline reads '01 August, 2026'; new page reads 'July 17, 2026'. Restore the August 1, 2026 date (note botox-for-tmj.php legitimately carries 17 July, 2026, so the new page appears to have inherited the wrong article's date)."
https://drdantegonzales.com/blog/botox-for-tmj.php,https://dante-new.vercel.app/blog/botox-for-tmj.html,PASS — CONTENT PRESERVED,None
https://drdantegonzales.com/blog/what-is-tmj-disorder.php,https://dante-new.vercel.app/blog/what-is-tmj-disorder.html,PARTIAL — CONTENT MISSING/CHANGED,"All sections, the 3-row TMJ Disorder Category table, the 8-item symptom list, the 8-item conservative treatment list, all statistics ('more than 30 medical conditions', '84% of patients with symptomatic TMJ compared to 33% of asymptomatic subjects'), and all 6 FAQs are preserved verbatim. Only defect: publication date changed. Old byline reads '17 July, 2026'; new page reads 'June 2, 2026'. Restore July 17, 2026."
https://drdantegonzales.com/blog/invisalign-for-crowded-teeth.php,https://dante-new.vercel.app/blog/invisalign-for-crowded-teeth.html,PASS — CONTENT PRESERVED,None
