#,Page Name,Section,Local File,Target Live URL,Built Locally,New Build Live,Old Page Live,Deploy Batch,Legacy .php URL,Page Title (SEO),Notes
1,Home,Main,index.html,https://www.drdantegonzales.com/,Yes,No,Yes,Batch 1,https://www.drdantegonzales.com/index.php,"Orthodontist in Dublin & Tracy, CA | Braces & Invisalign | Dante Gonzales Orthodontics","Staged in dist-partial/, not yet uploaded."
2,About Us / Dublin Office,Main,dublin-california-ca-orthodontics-office.html,https://www.drdantegonzales.com/dublin-california-ca-orthodontics-office.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/dublin-california-ca-orthodontics-office.php,Orthodontics Office in Dublin CA | Dante Gonzales,Old .php still serving this URL.
3,Meet Our Founder,Main,about.html,https://www.drdantegonzales.com/about.html,Yes,No,Yes,Batch 1,https://www.drdantegonzales.com/about.php,About Dante Gonzales Orthodontics – Dublin & Tracy,"Staged in dist-partial/, not yet uploaded."
4,Meet Our Orthodontists,Main,meet-our-orthodontists-in-dublin-ca.html,https://www.drdantegonzales.com/meet-our-orthodontists-in-dublin-ca.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/meet-our-orthodontists-in-dublin-ca.php,Top Orthodontists in Dublin: Dante Gonzales,Old .php still serving this URL.
5,Meet Our Dublin Team,Main,meet-our-orthodontics-team.html,https://www.drdantegonzales.com/meet-our-orthodontics-team.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/meet-our-orthodontics-team.php,Meet Our Dublin Orthodontics Team | Dante Gonzales,Old .php still serving this URL.
6,Meet Our Tracy Team,Main,meet-the-tracy-orthodontics-team.html,https://www.drdantegonzales.com/meet-the-tracy-orthodontics-team.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/meet-the-tracy-orthodontics-team.php,"Meet the Tracy, CA Orthodontics Team: Dante Gonzales",Old .php still serving this URL.
7,Braces & Invisalign (hub),Main,dublin-california-ca-braces-orthodontics-and-invisalign.html,https://www.drdantegonzales.com/dublin-california-ca-braces-orthodontics-and-invisalign.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/dublin-california-ca-braces-orthodontics-and-invisalign.php,Best Orthodontist for Invisalign & Braces - Dublin & Tracy,Old .php still serving this URL.
8,Invisalign,Main,invisalign.html,https://www.drdantegonzales.com/invisalign.html,Yes,No,Yes,Batch 1,https://www.drdantegonzales.com/invisalign.php,Best Invisalign provider in Dublin & Tracy-Dr.Dante Gonzales,"Staged in dist-partial/, not yet uploaded."
9,Invisalign Teen,Main,elite-invisalign-and-invisalign-teen-orthodontist.html,https://www.drdantegonzales.com/elite-invisalign-and-invisalign-teen-orthodontist.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/elite-invisalign-and-invisalign-teen-orthodontist.php,Best Invisalign provider in Dublin & Tracy-Dr.Dante Gonzales,Old .php still serving this URL.
10,Braces,Main,braces.html,https://www.drdantegonzales.com/braces.html,Yes,No,Yes,Batch 1,https://www.drdantegonzales.com/braces.php,Traditional metal braces & ceramic braces in Dublin & Tracy,"Staged in dist-partial/, not yet uploaded."
11,Braces in Dublin CA,Main,braces-in-dublin-ca.html,https://www.drdantegonzales.com/braces-in-dublin-ca.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/braces-in-dublin-ca.php,Braces in Dublin CA | Dr Dante Gonzales Orthodontics,Old .php still serving this URL.
12,Braces in Tracy CA,Main,braces-in-tracy-ca.html,https://www.drdantegonzales.com/braces-in-tracy-ca.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/braces-in-tracy-ca.php,Braces in Tracy CA | Adult & Teen Braces – Dr Dante Gonzales,Old .php still serving this URL.
13,Accelerated Treatment,Main,accelerated-treatment.html,https://www.drdantegonzales.com/accelerated-treatment.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/accelerated-treatment.php,Get your orthodontics treatment with the best orthodontist,Old .php still serving this URL.
14,Surgical Orthodontist,Main,surgical-orthodontist.html,https://www.drdantegonzales.com/surgical-orthodontist.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/surgical-orthodontist.php,Expert Surgical Orthodontist | Dante Gonzales,Old .php still serving this URL.
15,Surgical Orthodontics,Main,surgical-orthodontics.html,https://www.drdantegonzales.com/surgical-orthodontics.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/surgical-orthodontics.php,Best Surgical orthodontics for Jaw Alignment in Dublin & Tracy,Old .php still serving this URL.
16,Sleep Apnea Treatment (hub),Main,sleep-apnea-specialist-dublin-california-ca.html,https://www.drdantegonzales.com/sleep-apnea-specialist-dublin-california-ca.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/sleep-apnea-specialist-dublin-california-ca.php,Best sleep apnea treatment near Dublin & Tracy,Old .php still serving this URL.
17,Sleep Apnea Dentist - Dublin,Main,sleep-apnea-dentist-in-dublin.html,https://www.drdantegonzales.com/sleep-apnea-dentist-in-dublin.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/sleep-apnea-dentist-in-dublin.php,Sleep Apnea Dentist in Dublin | Dr Dante Gonzales,Old .php still serving this URL.
18,Sleep Apnea Treatment - Tracy,Main,sleep-apnea-treatment-tracy.html,https://www.drdantegonzales.com/sleep-apnea-treatment-tracy.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/sleep-apnea-treatment-tracy.php,Sleep Apnea Treatment Tracy CA | Dante Gonzales,Old .php still serving this URL.
19,Why Dante Gonzales Orthodontics,Main,best-dublin-ca-orthodontics-office-and-orthodontist.html,https://www.drdantegonzales.com/best-dublin-ca-orthodontics-office-and-orthodontist.html,Yes,No,Yes,Not scheduled,https://www.drdantegonzales.com/best-dublin-ca-orthodontics-office-and-orthodontist.php,5- Star Rated Dublin Orthodontist: Dante Gonzales,Old .php still serving this URL.
